Longitude,Latitude,Magnitude
114.3907095,30.5110635,807.0
114.4042638,30.5034410,669.0
114.3869558,30.507318,2328.0
114.3993373,30.4926944,2601.0
114.3882769,30.5112880,919.0
114.388672,30.5113471,898.0
114.3898933,30.5120664,996.0
114.4109247,30.4919417,2291.0
114.3875242,30.5054650,806.0
114.4069029,30.5078434,1768.0
114.3864284,30.5083956,1290.0
114.3939717,30.5096568,243.0
114.4047106,30.5024988,1138.0
114.4055571,30.500781,928.0
114.3995158,30.5003706,970.0
114.3903697,30.5080941,939.0
114.4056561,30.5012545,1295.0
114.3913737,30.5097677,1023.0
114.3912791,30.4967807,1739.0
114.403389,30.5029207,782.0
114.403689,30.5042361,767.0
114.4065492,30.5058620,855.0
114.4109473,30.5158517,2416.0
114.4060106,30.5016612,689.0
114.4018632,30.5095170,1233.0
114.4032899,30.5039260,725.0
114.4063237,30.4723212,4697.0
114.3897073,30.5079241,2224.0
114.388847,30.5112361,1000.0
114.4040474,30.5055933,551.0
114.404238,30.5060278,1079.0
114.4038711,30.505894,1042.0
114.3897024,30.5079228,2224.0
114.4057904,30.5044965,1108.0
114.4038548,30.5026825,946.0
114.4021554,30.5040237,805.0
114.4070179,30.5083525,1762.0
114.404363,30.505956,1085.0
114.3885269,30.511448,864.0
114.4050533,30.5009203,1229.0
114.4000039,30.4951805,1349.0
114.4062892,30.5048796,1053.0
114.3922682,30.507872,743.0
114.4057322,30.5021568,1165.0
114.3920338,30.510221,1023.0
114.4152222,30.5094405,2185.0
114.4050697,30.5055437,787.0
114.3901663,30.5098810,899.0
114.4093996,30.5189937,2380.0
114.3933798,30.5094786,855.0
114.4053432,30.500855,1240.0
114.4032758,30.503935,725.0
114.4033681,30.50386,722.0
114.4045729,30.5060078,1055.0
114.4175038,30.5066541,2330.0
114.3935562,30.5105222,1336.0
114.3885269,30.5105130,1063.0
114.3941284,30.5115563,1423.0
114.3904824,30.5126655,818.0
114.3884959,30.5109020,1084.0
114.3995758,30.5104085,1126.0
114.403376,30.5033448,744.0
114.3739036,30.5000354,3383.0
114.3909536,30.5078446,1087.0
114.3918428,30.5108818,949.0
114.4032041,30.5035958,645.0
114.3884959,30.5107520,1063.0
114.3874076,30.5168548,1612.0
114.390354,30.5080928,566.0
114.404218,30.506006,1118.0
114.3895242,30.5127274,1193.0
114.3912126,30.507883,1052.0
114.4024781,30.4909851,2319.0
114.3911353,30.49896,1885.0
114.3893613,30.5106523,1193.0
114.4044462,30.5022718,1979.0
114.3985396,30.5198364,1816.0
114.388741,30.5097101,1275.0
114.3911726,30.510040,1034.0
114.403927,30.4997647,1399.0
114.39248,30.5122460,778.0
114.4138044,30.5013509,2674.0
114.4184569,30.4960626,3515.0
114.3688891,30.5197596,2960.0
114.3902925,30.5097749,829.0
114.392703,30.5101870,967.0
114.4031163,30.5062796,1360.0
114.3902214,30.4904694,3526.0
114.3943574,30.5133734,1117.0
114.3903466,30.5080922,855.0
114.4053925,30.5096421,2671.0
114.3938003,30.5112733,1376.0
114.406345,30.5027390,998.0
114.4055117,30.5068222,1151.0
114.4150884,30.5012575,2112.0
114.4024455,30.5068897,1124.0
114.3921749,30.5078799,758.0
114.4036049,30.5031948,722.0
114.3903638,30.5080938,940.0
114.3894202,30.5086542,1811.0
114.3903695,30.5080941,939.0
114.4059223,30.5025480,784.0
114.3875347,30.5101508,1230.0
114.3933748,30.5097317,763.0
114.3895382,30.5078984,2197.0
114.388098,30.5094334,1627.0
114.4030864,30.5069108,1221.0
114.3848997,30.4773257,4676.0
114.4019175,30.4922506,3602.0
114.3908158,30.5056487,1075.0
114.3874657,30.5058778,764.0
114.3911136,30.5098786,1029.0
114.4026895,30.5068387,1129.0
114.391615,30.5094620,1046.0
114.4031941,30.5034918,632.0
114.3894732,30.5105213,1219.0
114.4051024,30.5021950,2193.0
114.4053747,30.5066351,1239.0
114.3910864,30.5202136,1501.0
114.3904089,30.509915,799.0
114.388626,30.5113831,886.0
114.4032762,30.5046262,712.0
114.392533,30.5108990,1431.0
114.3903711,30.5080941,939.0
114.3893396,30.5105310,1185.0
114.3919188,30.5105918,1043.0
114.4066942,30.5053455,850.0
114.3917017,30.5083678,848.0
114.38862,30.5106331,1058.0
114.3845405,30.4771143,4168.0
114.394458,30.5102295,1621.0
114.402635,30.5028790,1624.0
114.4034313,30.5065665,941.0
114.4073997,30.5072112,1236.0
114.3903668,30.5080941,939.0
114.3911856,30.5122687,592.0
114.3922784,30.5089830,741.0
114.3936403,30.5107622,1336.0
114.4216126,30.5168679,3507.0
114.397518,30.5182325,1683.0
114.4051168,30.5065840,1228.0
114.3921359,30.5090109,768.0
114.3919958,30.5099658,1030.0
114.3957443,30.5117436,797.0
114.388817,30.5116521,928.0
114.4034041,30.5040660,718.0
114.3888158,30.5109849,1140.0
114.4072472,30.5014725,708.0
114.392814,30.5096670,1055.0
114.3908921,30.5080919,901.0
114.404421,30.5060818,1063.0
114.4086142,30.4945826,2049.0
114.4078833,30.5029321,781.0
114.3901141,30.5080626,929.0
114.3897092,30.5079252,2224.0
114.4106659,30.5033434,1815.0
114.3874507,30.5100358,1252.0
114.4027842,30.5038738,658.0
114.4004391,30.4951388,2238.0
114.3970672,30.5115880,1350.0
114.3900913,30.5096134,1468.0
114.3765258,30.5065250,2675.0
114.388657,30.5113011,904.0
114.3792114,30.4727546,4687.0
114.3940294,30.5110223,1345.0
114.4038792,30.5064958,884.0
114.3939714,30.5096568,877.0
114.3915027,30.5083107,1047.0
114.4057701,30.501714,1306.0
114.3986912,30.4976947,1624.0
114.4043518,30.5039922,889.0
114.3897933,30.5054593,1232.0
114.404565,30.495457,1293.0
114.3928798,30.5111068,1046.0
114.3941134,30.5106693,1361.0
114.404324,30.5057297,1056.0
114.3920558,30.509373,968.0
114.3903706,30.5080941,939.0
114.4153739,30.5011400,2106.0
114.403504,30.4920145,2338.0
114.3904089,30.5099157,799.0
114.4155043,30.51230164,2518.0
114.3900235,30.51274017,967.0
114.4129294,30.50331072,2778.0
