a,b,c,d,e,f,g,v,l,wgs84lng,wgs84lat,wgs84lng1,wgs84lat1,marslng,marslat,marslng1,marslat1
3nX4B7,2018-02-05T02:00:32,114.2993881,30.49957944,2018-02-05T02:02:44,114.2991646,30.49817815,157,1,114.2939593,30.50203084,114.2937362,30.50063032,114.2993881,30.49957944,114.2991646,30.49817815
05Yn8x,2018-02-05T02:00:36,114.3755919,30.50734235,2018-02-05T02:02:48,114.3749237,30.50600822,162,1,114.3700563,30.50966235,114.3693887,30.50832934,114.3755919,30.50734235,114.3749237,30.50600822
3Q2PRa,2018-02-05T02:00:40,114.3878328,30.51181794,2018-02-05T02:02:55,114.3900633,30.51456345,373,1,114.3822911,30.51412625,114.384521,30.51686965,114.3878328,30.51181794,114.3900633,30.51456345
26LnOv,2018-02-05T02:00:48,114.23029,30.52355485,2018-02-05T02:02:57,114.2316905,30.51933539,488,1,114.2248565,30.52603531,114.2262594,30.52181815,114.23029,30.52355485,114.2316905,30.51933539
3nlnGl,2018-02-05T02:00:59,114.3506356,30.53695761,2018-02-05T02:03:14,114.3489091,30.54087615,466,1,114.3451252,30.53930372,114.3434008,30.54322394,114.3506356,30.53695761,114.3489091,30.54087615
3GYodE,2018-02-05T02:01:02,114.1753093,30.53162018,2018-02-05T02:23:31,114.3475643,30.54188232,16537,1,114.1697443,30.53401835,114.3420579,30.54423213,114.1753093,30.53162018,114.3475643,30.54188232
3nogDq,2018-02-05T02:01:02,114.3486665,30.5415314,2018-02-05T02:03:11,114.3398229,30.53980719,868,1,114.3431585,30.54387939,114.3343287,30.54217176,114.3486665,30.5415314,114.3398229,30.53980719
3KeVEm,2018-02-05T02:01:07,114.3270253,30.55021435,2018-02-05T14:04:08,114.3261323,30.55130035,148,1,114.3215509,30.55259966,114.3206593,30.553687,114.3270253,30.55021435,114.3261323,30.55130035
0n4MlP,2018-02-05T02:01:09,114.3039334,30.55435672,2018-02-05T02:03:23,114.3006152,30.55538762,338,1,114.298494,30.55678298,114.29518,30.55781902,114.3039334,30.55435672,114.3006152,30.55538762
37elmD,2018-02-05T02:01:11,114.2180514,30.55668436,2018-02-05T02:03:25,114.2164974,30.56079548,481,1,114.2125936,30.55914243,114.2110361,30.56325032,114.2180514,30.55668436,114.2164974,30.56079548
0ndbZO,2018-02-05T02:01:20,114.2589285,30.56995276,2018-02-05T12:56:53,114.4199356,30.48275803,18216,1,114.2535163,30.57242272,114.4144145,30.48507723,114.2589285,30.56995276,114.4199356,30.48275803
37e2rg,2018-02-05T02:01:23,114.2798595,30.57586242,2018-02-05T02:03:35,114.2799298,30.57478172,120,1,114.2744427,30.57831498,114.274513,30.5772346,114.2798595,30.57586242,114.2799298,30.57478172
0yakzP,2018-02-05T02:01:26,114.3949906,30.5139656,2018-02-05T03:00:14,114.2576002,30.57911774,15020,1,114.3894484,30.51626991,114.2521869,30.58158475,114.3949906,30.5139656,114.2576002,30.57911774
37eKVq,2018-02-05T02:01:27,114.2560787,30.5807904,2018-02-05T02:03:38,114.2574713,30.58151177,156,1,114.2506647,30.5832572,114.2520577,30.58397793,114.2560787,30.5807904,114.2574713,30.58151177
0nZvYP,2018-02-05T02:01:31,114.2227716,30.58801116,2018-02-05T02:03:43,114.2295999,30.59165214,769,1,114.21732,30.59046267,114.2241595,30.5941081,114.2227716,30.58801116,114.2295999,30.59165214
05DpvD,2018-02-05T02:01:33,114.3634675,30.59020639,2018-02-05T02:03:43,114.3631324,30.58905334,132,1,114.3579359,30.5925131,114.3576013,30.59136098,114.3634675,30.59020639,114.3631324,30.58905334
3nX5r7,2018-02-05T02:01:36,114.2931049,30.5928876,2018-02-05T02:03:46,114.2915499,30.59083803,272,1,114.2876753,30.59531679,114.2861221,30.59327025,114.2931049,30.5928876,114.2915499,30.59083803
0ne5oX,2018-02-05T02:01:41,114.3005203,30.59980205,2018-02-05T14:18:31,114.3063385,30.59401322,7210370,1,114.2950814,30.60221709,114.3008923,30.59642074,114.3005203,30.59980205,114.3063385,30.59401322
0nl7yP,2018-02-05T02:01:45,114.2574246,30.60492007,2018-02-05T02:03:56,114.2581321,30.60559169,101,1,114.252009,30.60737718,114.2527166,30.60804832,114.2574246,30.60492007,114.2581321,30.60559169
0nlZOD,2018-02-05T02:01:45,114.2467816,30.60510115,2018-02-05T02:03:53,114.2480285,30.60221574,342,1,114.2413601,30.60755919,114.2426082,30.60467503,114.2467816,30.60510115,114.2480285,30.60221574
37elpE,2018-02-05T02:01:47,114.2254086,30.60611653,2018-02-05T02:03:47,114.2247663,30.59341174,1414,1,114.2199601,30.60856341,114.2193178,30.59586304,114.2254086,30.60611653,114.2247663,30.59341174
