a,b,c,d,e,f,g,v,l,wgs84lng,wgs84lat,wgs84lng1,wgs84lat1,marslng,marslat,marslng1,marslat1
3QOp2E,2018-02-05T05:00:13,114.4152392,30.48098751,2018-02-05T05:02:26,114.4161955,30.48144975,105,1,114.4097124,30.483304,114.4106698,30.48376668,114.4152392,30.48098751,114.4161955,30.48144975
3np2xL,2018-02-05T05:00:26,114.2829087,30.51011895,2018-02-05T05:02:36,114.2835086,30.50606385,455,1,114.2774955,30.51259029,114.2780953,30.50853571,114.2829087,30.51011895,114.2835086,30.50606385
0nwDbr,2018-02-05T05:00:32,114.2395349,30.51893798,2018-02-05T05:02:39,114.2342859,30.51354805,782,1,114.2341139,30.52142498,114.2288589,30.51603423,114.2395349,30.51893798,114.2342859,30.51354805
37elmD,2018-02-05T05:01:00,114.2172467,30.55675264,2018-02-05T05:03:13,114.2154979,30.55872697,276,1,114.2117873,30.55920977,114.2100347,30.56118136,114.2172467,30.55675264,114.2154979,30.55872697
2dO4Kn,2018-02-05T05:01:02,114.3306543,30.55892541,2018-02-05T05:03:13,114.3312343,30.55791742,125,1,114.3251732,30.56130073,114.3257524,30.56029199,114.3306543,30.55892541,114.3312343,30.55791742
2KvL2Z,2018-02-05T05:01:06,114.3438109,30.56480705,2018-02-05T17:02:21,114.3492677,30.56212521,7212140,1,114.3383082,30.5671556,114.3437571,30.56446501,114.3438109,30.56480705,114.3492677,30.56212521
044YrL,2018-02-05T05:01:08,114.3460748,30.56791039,2018-02-05T05:03:18,114.3451524,30.56406776,436,1,114.3405684,30.57025373,114.3396477,30.56641415,114.3460748,30.56791039,114.3451524,30.56406776
0yakzP,2018-02-05T05:01:13,114.3949906,30.5139656,2018-02-05T05:59:40,114.2576002,30.57911774,15020,1,114.3894484,30.51626991,114.2521869,30.58158475,114.3949906,30.5139656,114.2576002,30.57911774
0n3Vkx,2018-02-05T05:01:16,114.2609103,30.58352203,2018-02-05T05:03:30,114.2587016,30.58545313,301,1,114.2554974,30.58598618,114.253288,30.5879174,114.2609103,30.58352203,114.2587016,30.58545313
3n84lL,2018-02-05T05:01:16,114.1781611,30.5841432,2018-02-05T05:03:25,114.1837877,30.58081138,654,1,114.1725998,30.58652819,114.1782428,30.58320805,114.1781611,30.5841432,114.1837877,30.58081138
26PrdN,2018-02-05T05:01:17,114.2085779,30.58677157,2018-02-05T05:03:31,114.210634,30.5865888,198,1,114.2030971,30.58920671,114.2051579,30.58902681,114.2085779,30.58677157,114.210634,30.5865888
05qzvD,2018-02-05T05:01:19,114.2817709,30.5874363,2018-02-05T05:03:30,114.2806742,30.58583448,207,1,114.2763518,30.58988238,114.275256,30.5882824,114.2817709,30.5874363,114.2806742,30.58583448
0nlDl7,2018-02-05T05:01:21,114.3369595,30.58840168,2018-02-05T05:03:30,114.3381709,30.58602155,289,1,114.3314656,30.59075417,114.3326753,30.58837267,114.3369595,30.58840168,114.3381709,30.58602155
07e4LD,2018-02-05T05:01:22,114.2837156,30.59227,2018-02-05T05:03:33,114.2808702,30.59015085,360,1,114.2782947,30.59471195,114.2754515,30.59259691,114.2837156,30.59227,114.2808702,30.59015085
0n4NZ7,2018-02-05T05:01:22,114.2870577,30.59152063,2018-02-05T05:03:34,114.276514,30.59101354,1011,1,114.2816341,30.59395869,114.2710977,30.59346382,114.2870577,30.59152063,114.276514,30.59101354
3nlpqa,2018-02-05T05:01:22,114.3335093,30.59238355,2018-02-05T05:03:36,114.3335213,30.59401955,182,1,114.3280207,30.59474104,114.3280325,30.59637639,114.3335093,30.59238355,114.3335213,30.59401955
37elVE,2018-02-05T05:01:25,114.2419263,30.59598083,2018-02-05T05:03:42,114.2437258,30.60082587,566,1,114.2365012,30.5984415,114.238302,30.6032851,114.2419263,30.59598083,114.2437258,30.60082587
3nom2D,2018-02-05T05:01:30,114.3512034,30.6018163,2018-02-05T05:03:43,114.3529546,30.60178115,168,1,114.3456865,30.60413783,114.3474353,30.60409974,114.3512034,30.6018163,114.3529546,30.60178115
0B6zzx,2018-02-05T05:01:35,114.3361885,30.54177455,2018-02-05T06:00:00,114.2848884,30.60625885,8691,1,114.3306999,30.54414527,114.2794654,30.60869388,114.3361885,30.54177455,114.2848884,30.60625885
27GyxR,2018-02-05T05:01:36,114.2164775,30.60940137,2018-02-05T05:03:48,114.2154042,30.60942675,103,1,114.211012,30.61183776,114.2099364,30.61186186,114.2164775,30.60940137,114.2154042,30.60942675
3nl2qm,2018-02-05T05:01:36,114.2245821,30.61022144,2018-02-05T05:03:50,114.2217274,30.61123119,295,1,114.2191318,30.61266594,114.2162719,30.61367255,114.2245821,30.61022144,114.2217274,30.61123119
3nXMxq,2018-02-05T05:01:36,114.2304801,30.60878497,2018-02-05T05:03:42,114.2393556,30.60167852,1160,1,114.2250395,30.61123482,114.2339273,30.60413608,114.2304801,30.60878497,114.2393556,30.60167852
2dD7xJ,2018-02-05T05:01:47,114.1933577,30.62250316,2018-02-05T05:03:58,114.1928948,30.62164521,105,1,114.1878356,30.62490036,114.1873715,30.62404197,114.1933577,30.62250316,114.1928948,30.62164521
26Kyz5,2018-02-05T05:01:50,114.2863192,30.62482648,2018-02-05T05:04:00,114.2805912,30.62255085,604,1,114.2808934,30.62725214,114.2751699,30.62498428,114.2863192,30.62482648,114.2805912,30.62255085
26PBdv,2018-02-05T05:01:55,114.2896388,30.6354354,2018-02-05T05:04:06,114.2835202,30.63266904,661,1,114.2842091,30.6378522,114.278096,30.63509487,114.2896388,30.6354354,114.2835202,30.63266904
0n4MOL,2018-02-05T05:01:59,114.2722589,30.64322904,2018-02-05T05:04:11,114.275419,30.64170567,347,1,114.2668399,30.64566181,114.2699989,30.6441363,114.2722589,30.64322904,114.275419,30.64170567
27eR8J,2018-02-05T05:02:08,114.3219462,30.67122098,2018-02-05T05:04:18,114.2979812,30.66504331,2393,1,114.3164696,30.67356727,114.2925398,30.66743482,114.3219462,30.67122098,114.2979812,30.66504331
3nXqva,2018-02-05T05:02:19,114.3402235,30.4633261,2018-02-05T05:04:35,114.3500698,30.47823071,1907,1,114.3347352,30.46571265,114.3445653,30.48059559,114.3402235,30.4633261,114.3500698,30.47823071
07oGvX,2018-02-05T05:02:36,114.4347401,30.50470696,2018-02-05T05:04:45,114.4299193,30.49882546,801,1,114.4292428,30.50703632,114.4244129,30.50115014,114.4347401,30.50470696,114.4299193,30.49882546
3nlOEE,2018-02-05T05:02:38,114.4165826,30.5085949,2018-02-05T05:04:50,114.4137307,30.50922935,282,1,114.411055,30.51090418,114.4081998,30.51153681,114.4165826,30.5085949,114.4137307,30.50922935
0n425x,2018-02-05T05:02:40,114.3888158,30.51098491,2018-02-05T05:04:51,114.3947288,30.50893121,611,1,114.383274,30.5132929,114.389187,30.51123716,114.3888158,30.51098491,114.3947288,30.50893121
3Q2PRa,2018-02-05T05:02:40,114.388848,30.51117817,2018-02-05T05:09:32,114.3864544,30.51182763,240,1,114.3833062,30.51348608,114.380913,30.51413682,114.388848,30.51117817,114.3864544,30.51182763
37elXD,2018-02-05T05:02:57,114.1881402,30.53594143,2018-02-05T05:05:07,114.1783311,30.53371707,971,1,114.1826114,30.53836181,114.1727747,30.53612022,114.1881402,30.53594143,114.1783311,30.53371707
3nlOED,2018-02-05T05:02:58,114.3276263,30.53458032,2018-02-05T05:05:07,114.3285566,30.53314865,182,1,114.3221523,30.53696976,114.3230812,30.53553678,114.3276263,30.53458032,114.3285566,30.53314865
3nXJXE,2018-02-05T05:03:01,114.3346546,30.54080299,2018-02-05T05:05:16,114.3357974,30.54321001,289,1,114.3291686,30.54317694,114.3303093,30.54558099,114.3346546,30.54080299,114.3357974,30.54321001
27el4Z,2018-02-05T05:03:02,114.400199,30.54377811,2018-02-05T05:05:17,114.4065718,30.54606167,661,1,114.3946555,30.54607168,114.4010315,30.54835475,114.400199,30.54377811,114.4065718,30.54606167
26l7GJ,2018-02-05T05:03:09,114.2926317,30.55104947,2018-02-05T05:05:21,114.2917822,30.55190776,125,1,114.2872062,30.55349468,114.2863575,30.55435389,114.2926317,30.55104947,114.2917822,30.55190776
37wevE,2018-02-05T05:03:14,114.3259813,30.55888637,2018-02-05T05:05:25,114.3217425,30.55733439,441,1,114.3205079,30.56127065,114.3162761,30.5597273,114.3259813,30.55888637,114.3217425,30.55733439
3nlYZM,2018-02-05T05:03:14,114.3320271,30.5601987,2018-02-05T05:05:26,114.3345018,30.55943241,252,1,114.3265437,30.56257095,114.3290144,30.56180022,114.3320271,30.5601987,114.3345018,30.55943241
0nlYZV,2018-02-05T05:03:25,114.1765914,30.58075489,2018-02-05T12:06:16,114.1831531,30.58208476,7212618,1,114.1710258,30.58313822,114.1776062,30.58447979,114.1765914,30.58075489,114.1831531,30.58208476
3n84lL,2018-02-05T05:03:25,114.1837877,30.58081138,2018-02-05T05:05:40,114.1782141,30.5843032,660,1,114.1782428,30.58320805,114.1726529,30.58668823,114.1837877,30.58081138,114.1782141,30.5843032
26lPOn,2018-02-05T05:03:29,114.3619522,30.58392615,2018-02-05T05:05:46,114.3595839,30.58946526,656,1,114.3564229,30.58623746,114.3540569,30.59177801,114.3619522,30.58392615,114.3595839,30.58946526
0rV80P,2018-02-05T05:03:36,114.2714371,30.59243209,2018-02-05T17:06:56,114.2775017,30.58950105,7211116,1,114.2660227,30.59488635,114.272085,30.59195093,114.2714371,30.59243209,114.2775017,30.58950105
3nJEba,2018-02-05T05:03:36,114.28708,30.59307061,2018-02-05T05:05:50,114.2852521,30.59486559,265,1,114.2816563,30.59550804,114.2798298,30.59730465,114.28708,30.59307061,114.2852521,30.59486559
26lDXn,2018-02-05T05:03:39,114.2775994,30.59737115,2018-02-05T05:05:51,114.2784933,30.59649807,129,1,114.272182,30.59981789,114.2730755,30.59894423,114.2775994,30.59737115,114.2784933,30.59649807
05qe3x,2018-02-05T05:03:42,114.2299229,30.60321441,2018-02-05T05:05:54,114.2310626,30.60233718,146,1,114.224482,30.60566609,114.2256235,30.60479001,114.2299229,30.60321441,114.2310626,30.60233718
3nagxD,2018-02-05T05:03:50,114.348056,30.61154167,2018-02-05T05:06:03,114.3481747,30.61047421,119,1,114.3425428,30.61386477,114.3426615,30.61279753,114.348056,30.61154167,114.3481747,30.61047421
26aoJZ,2018-02-05T05:04:03,114.196828,30.62725809,2018-02-05T11:15:51,114.1963844,30.62227821,555,1,114.1913147,30.62965914,114.1908704,30.62468059,114.196828,30.62725809,114.1963844,30.62227821
3QYJ5M,2018-02-05T05:04:04,114.3051104,30.62782944,2018-02-05T05:06:15,114.3052754,30.62669342,127,1,114.299663,30.63022543,114.2998279,30.6290896,114.3051104,30.62782944,114.3052754,30.62669342
2d2LOn,2018-02-05T05:04:06,114.237998,30.63133786,2018-02-05T05:06:14,114.2392237,30.6264106,560,1,114.2325656,30.63378274,114.2337931,30.62885806,114.237998,30.63133786,114.2392237,30.6264106
07oGO7,2018-02-05T05:04:41,114.2829086,30.48826337,2018-02-05T05:07:06,114.2821064,30.48953561,161,1,114.2774972,30.49074115,114.2766955,30.49201397,114.2829086,30.48826337,114.2821064,30.48953561
05D6yO,2018-02-05T05:05:06,114.2207399,30.53274297,2018-02-05T05:07:33,114.220603,30.533951,135,1,114.2152894,30.53521207,114.2151521,30.53641956,114.2207399,30.53274297,114.220603,30.533951
05q3Ar,2018-02-05T05:05:06,114.2381009,30.53269562,2018-02-05T05:07:34,114.2382829,30.53369458,112,1,114.2326771,30.53517762,114.2328592,30.53617633,114.2381009,30.53269562,114.2382829,30.53369458
3QY8dE,2018-02-05T05:05:13,114.3271763,30.53928233,2018-02-05T05:07:37,114.3277493,30.53797233,156,1,114.3217026,30.54167107,114.3222748,30.54036041,114.3271763,30.53928233,114.3277493,30.53797233
0nwYOP,2018-02-05T05:05:14,114.3131839,30.54187208,2018-02-05T05:07:39,114.3123789,30.54020909,200,1,114.3077322,30.5442863,114.3069286,30.54262534,114.3131839,30.54187208,114.3123789,30.54020909
26y32n,2018-02-05T05:05:16,114.2589706,30.54423737,2018-02-05T05:07:42,114.2565892,30.54594589,297,1,114.2535606,30.54671637,114.2511784,30.54842504,114.2589706,30.54423737,114.2565892,30.54594589
27Rz4n,2018-02-05T05:05:22,114.3134687,30.55413671,2018-02-05T17:10:52,114.3188461,30.55180135,7212965,1,114.3080155,30.5565462,114.3133848,30.55420167,114.3134687,30.55413671,114.3188461,30.55180135
3Q4okm,2018-02-05T05:05:33,114.2780727,30.57169388,2018-02-05T05:08:00,114.2754872,30.57268033,271,1,114.2726573,30.57414986,114.270073,30.57513849,114.2780727,30.57169388,114.2754872,30.57268033
056Dol,2018-02-05T05:05:39,114.2523985,30.5821698,2018-02-05T05:08:04,114.2457091,30.57920417,720,1,114.2469827,30.58463673,114.240289,30.58167207,114.2523985,30.5821698,114.2457091,30.57920417
0nNQBV,2018-02-05T05:05:43,114.3741826,30.58545862,2018-02-05T05:08:09,114.3700272,30.58555304,398,1,114.3686412,30.58775347,114.3644893,30.58785275,114.3741826,30.58545862,114.3700272,30.58555304
