a,b,c,d,e,f,g,v,l,wgs84lng,wgs84lat,wgs84lng1,wgs84lat1,marslng,marslat,marslng1,marslat1
04bZaV,2018-02-05T12:00:00,114.2727168,30.5910601,2018-02-05T23:35:44,114.267302,30.59351387,7211081,1,114.2673021,30.59351383,114.2618883,30.59597073,114.2727168,30.5910601,114.267302,30.59351387
07emwP,2018-02-05T12:00:00,114.2726369,30.59110764,2018-02-05T12:19:02,114.274327,30.59059952,189,1,114.2672222,30.59356142,114.2689117,30.59305202,114.2726369,30.59110764,114.274327,30.59059952
0BVggx,2018-02-05T12:00:00,114.2717558,30.59287218,2018-02-05T12:02:06,114.2663412,30.59532605,7210986,1,114.2663413,30.59532601,114.2609275,30.59778283,114.2717558,30.59287218,114.2663412,30.59532605
0nv6DD,2018-02-05T12:00:00,114.2693037,30.59358718,2018-02-05T23:29:35,114.2664547,30.59556427,7210900,1,114.2638897,30.59604263,114.2610409,30.59802088,114.2693037,30.59358718,114.2664547,30.59556427
0rNdXD,2018-02-05T12:00:01,114.2846454,30.59839387,2018-02-05T12:02:08,114.2900723,30.59596153,7210690,1,114.2792232,30.60083231,114.2846455,30.59839383,114.2846454,30.59839387,114.2900723,30.59596153
3nXD4m,2018-02-05T12:00:01,114.2838336,30.598509,2018-02-05T12:02:08,114.2892596,30.59607559,7210689,1,114.2784121,30.60094838,114.2838336,30.59850896,114.2838336,30.598509,114.2892596,30.59607559
0B6X3x,2018-02-05T12:00:02,114.3883299,30.59766098,2018-02-05T12:02:10,114.3827805,30.59993901,7209924,1,114.3827806,30.59993898,114.3772327,30.60222,114.3883299,30.59766098,114.3827805,30.59993901
3nXwEl,2018-02-05T12:00:02,114.3713179,30.59947773,2018-02-05T12:02:07,114.3768624,30.59719022,7210031,1,114.3657776,30.60177048,114.3713181,30.5994777,114.3713179,30.59947773,114.3768624,30.59719022
0BREK7,2018-02-05T12:00:03,114.2098621,30.59957178,2018-02-05T12:02:12,114.2043831,30.60200377,7211036,1,114.2043832,30.60200373,114.1988911,30.60442697,114.2098621,30.59957178,114.2043831,30.60200377
0yg7zr,2018-02-05T12:00:03,114.3360969,30.60069711,2018-02-05T12:02:12,114.3306033,30.6030465,7210115,1,114.3306033,30.60304645,114.3251185,30.60540537,114.3360969,30.60069711,114.3306033,30.6030465
26GRMZ,2018-02-05T12:00:03,114.3731626,30.60022013,2018-02-05T12:02:07,114.3787082,30.59793473,7209977,1,114.3676207,30.60251042,114.3731627,30.60022009,114.3731626,30.60022013,114.3787082,30.59793473
2dXyVZ,2018-02-05T12:00:03,114.2098532,30.59956279,2018-02-05T12:02:12,114.2043741,30.60199477,7211036,1,114.2043742,30.60199473,114.1988821,30.60441796,114.2098532,30.59956279,114.2043741,30.60199477
37Rzma,2018-02-05T12:00:03,114.2846484,30.60017388,2018-02-05T12:02:08,114.2900754,30.59774223,7210590,1,114.2792261,30.60261161,114.2846485,30.60017383,114.2846484,30.60017388,114.2900754,30.59774223
3nL2wm,2018-02-05T12:00:03,114.3679517,30.59953562,2018-02-05T12:02:07,114.3734937,30.59724449,7210051,1,114.3624145,30.60183257,114.3679518,30.59953557,114.3679517,30.59953562,114.3734937,30.59724449
3noJ5E,2018-02-05T12:00:03,114.3410969,30.59771298,2018-02-05T12:02:10,114.3355955,30.60005419,7210248,1,114.3355956,30.60005414,114.3301028,30.60240473,114.3410969,30.59771298,114.3355955,30.60005419
3nXPXp,2018-02-05T12:00:03,114.3775363,30.60105793,2018-02-05T12:02:07,114.3830842,30.59877669,7209899,1,114.3719912,30.60334321,114.3775364,30.60105789,114.3775363,30.60105793,114.3830842,30.59877669
3nzZY7,2018-02-05T12:00:03,114.3409827,30.59762538,2018-02-05T12:02:10,114.3354815,30.59996683,7210254,1,114.3354816,30.59996679,114.329989,30.60231762,114.3409827,30.59762538,114.3354815,30.59996683
0BlK7V,2018-02-05T12:00:04,114.2581421,30.60129968,2018-02-05T12:02:10,114.2595218,30.6015574,135,1,114.252727,30.60375801,114.254107,30.60401514,114.2581421,30.60129968,114.2595218,30.6015574
0nJDx7,2018-02-05T12:00:04,114.2777523,30.60270307,2018-02-05T12:02:08,114.2861586,30.59638194,7210436,1,114.2723344,30.60514756,114.2807354,30.59881927,114.2777523,30.60270307,114.2861586,30.59638194
0nl4dO,2018-02-05T12:00:05,114.3704058,30.60170757,2018-02-05T12:02:07,114.3759498,30.59941999,7209913,1,114.3648661,30.60400055,114.3704059,30.60170754,114.3704058,30.60170757,114.3759498,30.59941999
0yPE4l,2018-02-05T12:00:05,114.2523623,30.60014891,2018-02-05T23:49:35,114.2514849,30.59952677,102,1,114.2469449,30.60260892,114.2460671,30.6019871,114.2523623,30.60014891,114.2514849,30.59952677
0nxRb2,2018-02-05T12:00:06,114.2867773,30.60307481,2018-02-05T12:02:14,114.2865411,30.60619896,348,1,114.281353,30.60550872,114.2811167,30.60863193,114.2867773,30.60307481,114.2865411,30.60619896
3np2nD,2018-02-05T12:00:06,114.1968118,30.60910484,2018-02-05T12:02:16,114.1913,30.61151334,7210591,1,114.1913,30.6115133,114.1857733,30.61391148,114.1968118,30.60910484,114.1913,30.61151334
07ey32,2018-02-05T12:00:11,114.4010067,30.61021375,2018-02-05T12:02:13,114.406556,30.60794362,7209222,1,114.3954577,30.61248259,114.4010102,30.61021371,114.4010067,30.61021375,114.406556,30.60794362
3nXJvq,2018-02-05T12:00:11,114.4010078,30.61021465,2018-02-05T12:02:13,114.4065536,30.60794452,7209221,1,114.3954588,30.61248349,114.4010078,30.61021461,114.4010078,30.61021465,114.4065536,30.60794452
05om6x,2018-02-05T12:00:12,114.380484,30.61183055,2018-02-05T12:02:19,114.3860338,30.60955577,7209278,1,114.3749362,30.61410874,114.380484,30.61183051,114.380484,30.61183055,114.3860338,30.60955577
3GYDPq,2018-02-05T12:00:12,114.2742135,30.61201563,2018-02-05T12:51:13,114.3491835,30.56225911,7210479,1,114.2687964,30.61445978,114.343673,30.564599,114.2742135,30.61201563,114.3491835,30.56225911
3n4okE,2018-02-05T12:00:12,114.4009309,30.61022681,2018-02-05T12:02:13,114.4064768,30.6079567,7209221,1,114.3953819,30.61249565,114.400931,30.61022677,114.4009309,30.61022681,114.4064768,30.6079567
3n62XL,2018-02-05T12:00:12,114.4009682,30.61023682,2018-02-05T12:02:13,114.406514,30.60796671,7209220,1,114.3954192,30.61250565,114.4009682,30.61023679,114.4009682,30.61023682,114.406514,30.60796671
3nd5YM,2018-02-05T12:00:13,114.3037556,30.61314653,2018-02-05T12:02:20,114.3026357,30.61256364,125,1,114.2983113,30.61555088,114.297193,30.6149701,114.3037556,30.61314653,114.3026357,30.61256364
05wd72,2018-02-05T12:00:14,114.2075326,30.61516035,2018-02-05T12:02:21,114.2130058,30.61272948,7210275,1,114.2020469,30.61758284,114.2075327,30.6151603,114.2075326,30.61516035,114.2130058,30.61272948
3ngNJa,2018-02-05T12:00:14,114.3939675,30.61360409,2018-02-05T12:02:13,114.4065134,30.60796371,7209191,1,114.3884165,30.61587304,114.4009676,30.61023379,114.3939675,30.61360409,114.4065134,30.60796371
05BLDV,2018-02-05T12:00:16,114.2024638,30.61783217,2018-02-05T12:02:21,114.2079486,30.61540915,7210159,1,114.1969657,30.62024609,114.2024639,30.61783212,114.2024638,30.61783217,114.2079486,30.61540915
0n4M4P,2018-02-05T12:00:16,114.2449832,30.61973418,2018-02-05T12:02:26,114.2395988,30.62129915,7209749,1,114.2395589,30.62218604,114.2341691,30.62374888,114.2449832,30.61973418,114.2395988,30.62129915
0rdOmO,2018-02-05T12:00:16,114.2061128,30.61877556,2018-02-05T12:02:21,114.2115894,30.61634799,7210082,1,114.2006235,30.62119454,114.2061129,30.61877552,114.2061128,30.61877556,114.2115894,30.61634799
2KqMMJ,2018-02-05T12:00:16,114.2076465,30.61696933,2018-02-05T12:02:21,114.2131197,30.61453906,7210173,1,114.202161,30.61939124,114.2076467,30.61696929,114.2076465,30.61696933,114.2131197,30.61453906
3G4V5l,2018-02-05T12:00:16,114.2428053,30.61752862,2018-02-05T12:02:24,114.2373791,30.61998096,7209802,1,114.2373792,30.61998092,114.2319469,30.6224303,114.2428053,30.61752862,114.2373791,30.61998096
3nlnOL,2018-02-05T12:00:16,114.2075086,30.61836436,2018-02-05T12:02:21,114.2129821,30.61593483,7210095,1,114.2020226,30.62078551,114.2075086,30.61836432,114.2075086,30.61836436,114.2129821,30.61593483
3QEbDq,2018-02-05T12:00:17,114.2975561,30.61876067,2018-02-05T12:02:26,114.2921191,30.62117285,7209365,1,114.2921192,30.62117281,114.2866881,30.62359215,114.2975561,30.61876067,114.2921191,30.62117285
3GgPvD,2018-02-05T12:00:18,114.2984472,30.62019908,2018-02-05T12:02:23,114.2837326,30.61897305,1415,1,114.2930091,30.62260923,114.2783094,30.62140433,114.2984472,30.62019908,114.2837326,30.61897305
3QRZ7g,2018-02-05T12:00:18,114.2062428,30.61907654,2018-02-05T12:02:21,114.2117192,30.61664893,7210064,1,114.2007538,30.62149558,114.2062429,30.6190765,114.2062428,30.61907654,114.2117192,30.61664893
