a,b,c,d,e,f,g,v,l,wgs84lng,wgs84lat,wgs84lng1,wgs84lat1,marslng,marslat,marslng1,marslat1
0nNzOD,2018-02-05T06:00:03,114.261047,30.5466918,2018-02-05T17:55:32,114.2629455,30.54579687,207,1,114.2556372,30.54916915,114.257536,30.54827364,114.261047,30.5466918,114.2629455,30.54579687
26l7GJ,2018-02-05T06:00:06,114.2927466,30.55093891,2018-02-05T06:06:31,114.2951533,30.55291727,319,1,114.287321,30.55338399,114.2897249,30.55535811,114.2927466,30.55093891,114.2951533,30.55291727
0yQEer,2018-02-05T06:00:18,114.2119717,30.57191856,2018-02-05T06:02:26,114.2089283,30.57266804,303,1,114.2064999,30.57436381,114.2034496,30.57510894,114.2119717,30.57191856,114.2089283,30.57266804
26PM8v,2018-02-05T06:00:21,114.2679188,30.57595271,2018-02-05T06:02:29,114.2700834,30.57544031,215,1,114.2625066,30.57841581,114.2646708,30.57790205,114.2679188,30.57595271,114.2700834,30.57544031
0yakZP,2018-02-05T06:00:23,114.2576002,30.57911774,2018-02-05T06:01:49,114.3949906,30.5139656,15020,1,114.2521869,30.58158475,114.3894484,30.51626991,114.2576002,30.57911774,114.3949906,30.5139656
05Ye67,2018-02-05T06:00:54,114.1916819,30.62163533,2018-02-05T06:03:02,114.1932767,30.62217317,164,1,114.1861554,30.62403,114.1877544,30.62457037,114.1916819,30.62163533,114.1932767,30.62217317
05YGd2,2018-02-05T06:00:54,114.1921399,30.62217528,2018-02-05T06:03:02,114.1892272,30.62106755,305,1,114.1866146,30.62457052,114.183694,30.62345816,114.1921399,30.62217528,114.1892272,30.62106755
3QYp3L,2018-02-05T06:00:54,114.1931928,30.62209818,2018-02-05T06:09:25,114.1905221,30.62131344,270,1,114.1876703,30.62449526,114.1849924,30.62370622,114.1931928,30.62209818,114.1905221,30.62131344
05ZlwD,2018-02-05T06:00:56,114.1945046,30.62316804,2018-02-05T06:02:59,114.2019623,30.61785693,926,1,114.1889855,30.62556691,114.196463,30.62027007,114.1945046,30.62316804,114.2019623,30.61785693
3Ge0VE,2018-02-05T06:01:03,114.3146736,30.6338158,2018-02-05T06:03:04,114.3078532,30.62255321,1412,1,114.3092117,30.63619221,114.3024024,30.62494664,114.3146736,30.6338158,114.3078532,30.62255321
26l7o4,2018-02-05T06:01:10,114.4010213,30.65036634,2018-02-05T06:03:19,114.4008081,30.65186075,167,1,114.3954688,30.65261826,114.3952554,30.65411203,114.4010213,30.65036634,114.4008081,30.65186075
3nlY6p,2018-02-05T06:01:28,114.2807394,30.47556172,2018-02-05T06:03:37,114.2804572,30.47785027,256,1,114.2753306,30.47804551,114.2750484,30.48033375,114.2807394,30.47556172,114.2804572,30.47785027
