a,b,c,d,e,f,g,v,l,wgs84lng,wgs84lat,wgs84lng1,wgs84lat1,marslng,marslat,marslng1,marslat1
3np2xL,2018-02-05T01:00:02,114.2840605,30.50696377,2018-02-05T01:02:11,114.2839336,30.50602878,105,1,114.2786467,30.5094347,114.2785199,30.50850014,114.2840605,30.50696377,114.2839336,30.50602878
3GByla,2018-02-05T01:00:04,114.3303443,30.5100783,2018-02-05T01:02:14,114.3290933,30.51036229,124,1,114.324868,30.51247033,114.323619,30.51275662,114.3303443,30.5100783,114.3290933,30.51036229
05q677,2018-02-05T01:00:19,114.1758942,30.53164817,2018-02-05T01:01:16,114.1625994,30.61403143,9249,1,114.1703309,30.53404743,114.1569903,30.61637549,114.1758942,30.53164817,114.1625994,30.61403143
05q677,2018-02-05T01:00:19,114.1758942,30.53164817,2018-02-05T01:01:16,114.1625994,30.61403143,9249,1,114.1703309,30.53404743,114.1569903,30.61637549,114.1758942,30.53164817,114.1625994,30.61403143
26eX6Z,2018-02-05T01:00:21,114.223997,30.53389737,2018-02-05T01:02:29,114.2206884,30.53283796,338,1,114.2185523,30.53636929,114.2152378,30.53530698,114.223997,30.53389737,114.2206884,30.53283796
3GYoDE,2018-02-05T01:00:27,114.3475643,30.54188232,2018-02-05T01:02:29,114.1753093,30.53162018,16537,1,114.3420579,30.54423213,114.1697443,30.53401835,114.3475643,30.54188232,114.1753093,30.53162018
0nKL4P,2018-02-05T01:00:29,114.1840907,30.54639378,2018-02-05T01:02:38,114.1852056,30.5462887,107,1,114.1785496,30.54880333,114.1796677,30.54870032,114.1840907,30.54639378,114.1852056,30.5462887
0nZKJL,2018-02-05T01:00:42,114.3007254,30.56536381,2018-02-05T01:02:50,114.3012877,30.56423588,136,1,114.2952892,30.56779149,114.2958509,30.56666304,114.3007254,30.56536381,114.3012877,30.56423588
0nk0JL,2018-02-05T01:00:48,114.2394782,30.57773347,2018-02-05T01:02:58,114.2371329,30.57787927,225,1,114.2340521,30.58020026,114.231704,30.58034501,114.2394782,30.57773347,114.2371329,30.57787927
3nkxXD,2018-02-05T01:00:48,114.2856029,30.57620015,2018-02-05T01:02:59,114.2817811,30.57893413,476,1,114.2801819,30.57864586,114.2763627,30.58138341,114.2856029,30.57620015,114.2817811,30.57893413
0nd7yx,2018-02-05T01:00:50,114.3579409,30.58023682,2018-02-05T01:03:01,114.3589191,30.58244914,263,1,114.3524168,30.58255561,114.3533936,30.58476558,114.3579409,30.58023682,114.3589191,30.58244914
0yakZP,2018-02-05T01:00:50,114.2576002,30.57911774,2018-02-05T01:02:17,114.3949906,30.5139656,15020,1,114.2521869,30.58158475,114.3894484,30.51626991,114.2576002,30.57911774,114.3949906,30.5139656
3QBkLp,2018-02-05T01:00:51,114.353852,30.58204406,2018-02-05T01:03:02,114.3596128,30.58386281,587,1,114.3483331,30.58436877,114.3540863,30.58617765,114.353852,30.58204406,114.3596128,30.58386281
04mRbD,2018-02-05T01:00:53,114.2411425,30.5875919,2018-02-05T01:03:07,114.2432333,30.59314563,649,1,114.2357173,30.59005556,114.2378097,30.59560774,114.2411425,30.5875919,114.2432333,30.59314563
05DpvD,2018-02-05T01:00:54,114.3640916,30.58756549,2018-02-05T01:03:07,114.3636225,30.58964042,235,1,114.3585595,30.58987233,114.3580908,30.59194713,114.3640916,30.58756549,114.3636225,30.58964042
26A0bn,2018-02-05T01:01:00,114.3504046,30.5923337,2018-02-05T01:03:08,114.3480573,30.59191947,229,1,114.3448897,30.5946603,114.3425458,30.59425031,114.3504046,30.5923337,114.3480573,30.59191947
3nabvg,2018-02-05T01:01:02,114.2200317,30.59725144,2018-02-05T01:03:09,114.2197421,30.59411884,349,1,114.2145742,30.5996966,114.2142844,30.59656491,114.2200317,30.59725144,114.2197421,30.59411884
0B6zZx,2018-02-05T01:01:09,114.2848884,30.60625885,2018-02-05T01:02:36,114.3361885,30.54177455,8691,1,114.2794654,30.60869388,114.3306999,30.54414527,114.2848884,30.60625885,114.3361885,30.54177455
27GyxR,2018-02-05T01:01:11,114.2154134,30.60943816,2018-02-05T01:03:21,114.2164707,30.60940006,101,1,114.2099457,30.61187328,114.2110051,30.61183644,114.2154134,30.60943816,114.2164707,30.60940006
26VMBG,2018-02-05T01:01:15,114.3501146,30.61314485,2018-02-05T01:03:32,114.3479116,30.62113871,914,1,114.3445983,30.61546371,114.3423978,30.62345814,114.3501146,30.61314485,114.3479116,30.62113871
3n6JNE,2018-02-05T01:01:18,114.1829513,30.61718366,2018-02-05T13:04:40,114.1968137,30.62342695,1497,1,114.1774008,30.61956453,114.1913007,30.62582957,114.1829513,30.61718366,114.1968137,30.62342695
