a,b,c,d,e,f,g,v,l,wgs84lng,wgs84lat,wgs84lng1,wgs84lat1,marslng,marslat,marslng1,marslat1
05AO8L,2018-02-05T16:00:00,114.1987297,30.62133353,2018-02-05T16:02:01,114.1932218,30.62374018,7209890,1,114.1932219,30.62374014,114.1876992,30.62613663,114.1987297,30.62133353,114.1932218,30.62374018
05BNyx,2018-02-05T16:00:00,114.198613,30.62168888,2018-02-05T16:02:02,114.1931048,30.62409519,7209871,1,114.1931048,30.62409515,114.1875819,30.62649129,114.198613,30.62168888,114.1931048,30.62409519
05ZlwD,2018-02-05T16:00:00,114.1926698,30.62273823,2018-02-05T16:12:05,114.1986508,30.61986605,7209947,1,114.1871458,30.62513415,114.1931429,30.62227314,114.1926698,30.62273823,114.1986508,30.61986605
2682rJ,2018-02-05T16:00:00,114.2025454,30.62558737,2018-02-05T16:02:01,114.2080307,30.62316743,7209723,1,114.1970468,30.62799821,114.2025455,30.62558733,114.2025454,30.62558737,114.2080307,30.62316743
26PmMv,2018-02-05T16:00:00,114.2043494,30.62349675,2018-02-05T16:02:00,114.2098304,30.62107347,7209828,1,114.1988554,30.62591119,114.2043495,30.62349672,114.2043494,30.62349675,114.2098304,30.62107347
26w4GR,2018-02-05T16:00:00,114.2025454,30.62558737,2018-02-05T16:02:01,114.2080307,30.62316743,7209723,1,114.1970468,30.62799821,114.2025455,30.62558733,114.2025454,30.62558737,114.2080307,30.62316743
26yLMa,2018-02-05T16:00:00,114.1869333,30.62256654,2018-02-05T16:02:01,114.1924577,30.62016988,7209999,1,114.1813936,30.62495243,114.1869334,30.6225665,114.1869333,30.62256654,114.1924577,30.62016988
2dD7xJ,2018-02-05T16:00:00,114.1986727,30.61991804,2018-02-05T16:06:01,114.1927298,30.62178022,7210043,1,114.1931648,30.62232514,114.1872061,30.62417664,114.1986727,30.61991804,114.1927298,30.62178022
2dkrwn,2018-02-05T16:00:00,114.2060678,30.62342558,2018-02-05T16:02:00,114.211545,30.62099998,7209821,1,114.200578,30.62584258,114.206068,30.62342554,114.2060678,30.62342558,114.211545,30.62099998
2dM7ya,2018-02-05T16:00:00,114.2578972,30.62348477,2018-02-05T16:02:00,114.2633132,30.62103654,7209466,1,114.2524801,30.62593419,114.2578973,30.62348473,114.2578972,30.62348477,114.2633132,30.62103654
2dOLDv,2018-02-05T16:00:00,114.2555187,30.62509125,2018-02-05T16:02:00,114.2609351,30.62264256,7209392,1,114.2501007,30.62754064,114.2555188,30.62509121,114.2555187,30.62509125,114.2609351,30.62264256
2dOm6N,2018-02-05T16:00:00,114.1987875,30.62072818,2018-02-05T16:02:01,114.1924169,30.62342026,7209933,1,114.1932799,30.62313513,114.1868922,30.62581546,114.1987875,30.62072818,114.1924169,30.62342026
2dXdn6,2018-02-05T16:00:00,114.204862,30.62337175,2018-02-05T16:02:00,114.2103418,30.62094772,7209832,1,114.1993693,30.625787,114.2048621,30.62337171,114.204862,30.62337175,114.2103418,30.62094772
3nqN0a,2018-02-05T16:00:00,114.2001497,30.62020176,2018-02-05T16:02:01,114.1946455,30.62261115,7209944,1,114.1946456,30.6226111,114.1891269,30.62501049,114.2001497,30.62020176,114.1946455,30.62261115
07eEeD,2018-02-05T16:00:01,114.2972352,30.62500409,2018-02-05T16:02:00,114.302679,30.62260177,7209116,1,114.2917982,30.62741415,114.2972354,30.62500405,114.2972352,30.62500409,114.302679,30.62260177
0nzPv2,2018-02-05T16:00:01,114.2077853,30.62477355,2018-02-05T16:02:02,114.2022993,30.62719248,7209635,1,114.2022994,30.62719244,114.1968,30.62960228,114.2077853,30.62477355,114.2022993,30.62719248
