a,b,c,d,e,f,g,v,l,wgs84lng,wgs84lat,wgs84lng1,wgs84lat1,marslng,marslat,marslng1,marslat1
3Qzngq,2018-02-05T07:00:08,114.2573643,30.56899176,2018-02-05T07:02:12,114.2623525,30.56532816,628,1,114.2519518,30.57146258,114.2569413,30.56779837,114.2573643,30.56899176,114.2623525,30.56532816
3QNKMq,2018-02-05T07:00:11,114.2610704,30.57454303,2018-02-05T07:04:27,114.2622071,30.57460781,109,1,114.2556583,30.57701047,114.2567951,30.57707471,114.2610704,30.57454303,114.2622071,30.57460781
0yakZP,2018-02-05T07:00:14,114.2576002,30.57911774,2018-02-05T07:01:39,114.3949906,30.5139656,15020,1,114.2521869,30.58158475,114.3894484,30.51626991,114.2576002,30.57911774,114.3949906,30.5139656
3GALwl,2018-02-05T07:00:19,114.3414758,30.58760893,2018-02-05T07:02:29,114.3374395,30.5894607,438,1,114.3359748,30.5899533,114.3319447,30.59181188,114.3414758,30.58760893,114.3374395,30.5894607
3QA6Pp,2018-02-05T07:00:28,114.271871,30.59968403,2018-02-05T07:02:44,114.2794074,30.60883173,1247,1,114.2664558,30.60213511,114.273988,30.61127205,114.271871,30.59968403,114.2794074,30.60883173
05ZlwD,2018-02-05T07:00:45,114.191568,30.62244034,2018-02-05T07:02:55,114.1925968,30.62282224,107,1,114.1860411,30.62483448,114.1870726,30.625218,114.191568,30.62244034,114.1925968,30.62282224
3QYkXq,2018-02-05T07:00:46,114.2025454,30.62558737,2018-02-05T07:02:55,114.1929118,30.62334521,955,1,114.1970468,30.62799821,114.1873884,30.6257413,114.2025454,30.62558737,114.1929118,30.62334521
2KQGyR,2018-02-05T07:00:55,114.2962045,30.63531837,2018-02-05T07:03:01,114.2808261,30.63230754,1509,1,114.2907678,30.63772568,114.2754038,30.63473663,114.2962045,30.63531837,114.2808261,30.63230754
3GelKa,2018-02-05T07:00:55,114.2668751,30.63619903,2018-02-05T07:02:41,114.2532753,30.60584267,3618,1,114.2614578,30.6386388,114.2478579,30.60830032,114.2668751,30.63619903,114.2532753,30.60584267
26wXoN,2018-02-05T07:01:05,114.3278842,30.66857058,2018-02-05T07:03:14,114.3250712,30.66810357,274,1,114.3223981,30.67090674,114.3195898,30.67044533,114.3278842,30.66857058,114.3250712,30.66810357
3nlOEE,2018-02-05T07:01:36,114.4165826,30.5085949,2018-02-05T07:03:44,114.41371,30.50920873,284,1,114.411055,30.51090418,114.4081791,30.51151619,114.4165826,30.5085949,114.41371,30.50920873
3noGP7,2018-02-05T07:01:42,114.3948869,30.51719072,2018-02-05T16:21:17,114.3995099,30.50819081,7214116,1,114.3893444,30.51949406,114.3939693,30.51049589,114.3948869,30.51719072,114.3995099,30.50819081
07e5p7,2018-02-05T07:01:53,114.2286881,30.5335315,2018-02-05T07:04:00,114.2314835,30.53243994,294,1,114.2232513,30.53600754,114.226051,30.53491835,114.2286881,30.5335315,114.2314835,30.53243994
05D6yO,2018-02-05T07:01:57,114.2278384,30.54158167,2018-02-05T07:04:09,114.2316325,30.54714894,718,1,114.2223995,30.54405436,114.2261989,30.54962253,114.2278384,30.54158167,114.2316325,30.54714894
3nXJXE,2018-02-05T07:01:59,114.3331041,30.54223435,2018-02-05T07:04:06,114.3346662,30.54080346,218,1,114.3276205,30.54461077,114.3291802,30.54317739,114.3331041,30.54223435,114.3346662,30.54080346
27el4Z,2018-02-05T07:02:02,114.4055955,30.54516883,2018-02-05T07:04:08,114.4002322,30.5435474,544,1,114.4000546,30.54746205,114.3946887,30.54584104,114.4055955,30.54516883,114.4002322,30.5435474
2Kqqqv,2018-02-05T07:02:03,114.1959754,30.54814571,2018-02-05T07:04:14,114.1886373,30.55387545,949,1,114.1904668,30.55057551,114.1831083,30.55629062,114.1959754,30.54814571,114.1886373,30.55387545
05oy5r,2018-02-05T07:02:04,114.2988902,30.54978489,2018-02-05T07:04:12,114.2977993,30.55050802,132,1,114.2934577,30.55222102,114.292368,30.55294562,114.2988902,30.54978489,114.2977993,30.55050802
37elmD,2018-02-05T07:02:07,114.226025,30.55467887,2018-02-05T07:04:18,114.2158675,30.55949361,1110,1,114.220582,30.55714556,114.210405,30.56194817,114.226025,30.55467887,114.2158675,30.55949361
0n4MlP,2018-02-05T07:02:08,114.3005759,30.55541048,2018-02-05T07:04:15,114.3039248,30.55433885,342,1,114.2951408,30.55784194,114.2984854,30.55676513,114.3005759,30.55541048,114.3039248,30.55433885
27KgZn,2018-02-05T07:02:12,114.2070596,30.5635953,2018-02-05T07:04:22,114.2141913,30.56509518,703,1,114.2015773,30.56603687,114.2087248,30.56754571,114.2070596,30.5635953,114.2141913,30.56509518
26Nl0R,2018-02-05T07:02:14,114.3527743,30.56670555,2018-02-05T07:04:24,114.3462498,30.56827938,649,1,114.3472583,30.56903771,114.3407431,30.57062228,114.3527743,30.56670555,114.3462498,30.56827938
37e2rg,2018-02-05T07:02:19,114.2799002,30.57484004,2018-02-05T07:04:28,114.279859,30.57586922,115,1,114.2744834,30.57729293,114.2744422,30.57832178,114.2799002,30.57484004,114.279859,30.57586922
0yakzP,2018-02-05T07:02:22,114.3949906,30.5139656,2018-02-05T07:59:01,114.2576002,30.57911774,15020,1,114.3894484,30.51626991,114.2521869,30.58158475,114.3949906,30.5139656,114.2576002,30.57911774
0yYobL,2018-02-05T07:02:22,114.2720699,30.57858395,2018-02-05T07:04:30,114.2707962,30.57959018,165,1,114.2666565,30.58104295,114.2653831,30.58204983,114.2720699,30.57858395,114.2707962,30.57959018
37eKVq,2018-02-05T07:02:22,114.2540425,30.58008251,2018-02-05T07:04:31,114.2560741,30.580786,210,1,114.2486277,30.58255,114.2506601,30.58325281,114.2540425,30.58008251,114.2560741,30.580786
37woM7,2018-02-05T07:02:22,114.2453865,30.57899819,2018-02-05T07:08:42,114.2410949,30.57773038,434,1,114.2399661,30.58146611,114.2356705,30.58019774,114.2453865,30.57899819,114.2410949,30.57773038
05NdGV,2018-02-05T07:02:25,114.3433679,30.58422306,2018-02-05T07:04:34,114.3458551,30.58509926,257,1,114.3378642,30.58656525,114.3403475,30.58743662,114.3433679,30.58422306,114.3458551,30.58509926
05qzvD,2018-02-05T07:02:27,114.281383,30.58727436,2018-02-05T07:04:35,114.2830177,30.5876841,163,1,114.2759642,30.58972094,114.2775977,30.59012864,114.281383,30.58727436,114.2830177,30.5876841
37eO0E,2018-02-05T07:02:27,114.2592257,30.58725596,2018-02-05T07:04:38,114.2610161,30.59281263,641,1,114.2538121,30.58971936,114.2556024,30.59527319,114.2592257,30.58725596,114.2610161,30.59281263
37elVE,2018-02-05T07:02:30,114.2402844,30.59229938,2018-02-05T07:04:45,114.24362,30.6007991,998,1,114.2348579,30.59476094,114.2381961,30.60325832,114.2402844,30.59229938,114.24362,30.6007991
3QagQM,2018-02-05T07:02:32,114.2891566,30.5940602,2018-02-05T07:04:35,114.2909793,30.58833594,660,1,114.2837309,30.59649449,114.2855523,30.59076992,114.2891566,30.5940602,114.2909793,30.58833594
3QAyZq,2018-02-05T07:02:32,114.3726542,30.59359397,2018-02-05T07:04:40,114.36642,30.59503688,618,1,114.3671133,30.59588743,114.3608848,30.59733762,114.3726542,30.59359397,114.36642,30.59503688
26lDXn,2018-02-05T07:02:35,114.2775996,30.59737085,2018-02-05T07:04:41,114.2784925,30.59649837,129,1,114.2721822,30.59981759,114.2730747,30.59894453,114.2775996,30.59737085,114.2784925,30.59649837
07oeqr,2018-02-05T07:02:37,114.3607125,30.60053272,2018-02-05T07:04:40,114.3634373,30.59429795,741,1,114.3551832,30.60283946,114.3579054,30.59660313,114.3607125,30.60053272,114.3634373,30.59429795
26l3NN,2018-02-05T07:02:37,114.2058972,30.60144712,2018-02-05T07:04:45,114.2107348,30.60259106,480,1,114.2004089,30.60387276,114.2052576,30.60502299,114.2058972,30.60144712,114.2107348,30.60259106
0nNyXO,2018-02-05T07:02:39,114.2368473,30.60329329,2018-02-05T07:36:46,114.2386073,30.60721352,467,1,114.2314159,30.60574912,114.2331777,30.60966858,114.2368473,30.60329329,114.2386073,30.60721352
26l3va,2018-02-05T07:02:40,114.2258738,30.60485019,2018-02-05T10:06:01,114.2273551,30.60742993,320,1,114.2204262,30.60729799,114.2219098,30.60987794,114.2258738,30.60485019,114.2273551,30.60742993
2d3g8N,2018-02-05T07:02:42,114.2120867,30.60819462,2018-02-05T07:04:48,114.2114798,30.60687972,157,1,114.206612,30.61062609,114.2060038,30.60931093,114.2120867,30.60819462,114.2114798,30.60687972
07owg7,2018-02-05T07:02:44,114.2505558,30.60917442,2018-02-05T07:04:51,114.2478916,30.60883578,258,1,114.2451366,30.61163097,114.2424706,30.61129243,114.2505558,30.60917442,114.2478916,30.60883578
2dOm6N,2018-02-05T07:02:55,114.1926378,30.62342724,2018-02-05T07:05:02,114.2025454,30.62558737,978,1,114.1871137,30.62582282,114.1970468,30.62799821,114.1926378,30.62342724,114.2025454,30.62558737
3nXMpM,2018-02-05T07:02:55,114.254456,30.62536724,2018-02-05T07:05:04,114.2555581,30.62644392,160,1,114.2490375,30.62781673,114.25014,30.62889274,114.254456,30.62536724,114.2555581,30.62644392
26PBdv,2018-02-05T07:03:01,114.2835207,30.63267034,2018-02-05T07:05:12,114.2843577,30.63801901,600,1,114.2780965,30.63509616,114.2789323,30.64044155,114.2835207,30.63267034,114.2843577,30.63801901
27GnLv,2018-02-05T07:03:07,114.3231606,30.6429808,2018-02-05T07:05:13,114.3239336,30.63955277,388,1,114.3176845,30.64533734,114.3184565,30.64190932,114.3231606,30.6429808,114.3239336,30.63955277
3QmJKq,2018-02-05T07:03:07,114.2602546,30.64740635,2018-02-05T07:05:12,114.2554187,30.6390943,1034,1,114.254836,30.64984475,114.2499994,30.6415378,114.2602546,30.64740635,114.2554187,30.6390943
27GrbZ,2018-02-05T07:03:08,114.250165,30.64959317,2018-02-05T07:05:16,114.2466645,30.64962584,335,1,114.2447421,30.65203274,114.2412391,30.65206524,114.250165,30.64959317,114.2466645,30.64962584
26w0DR,2018-02-05T07:03:10,114.2825138,30.65483731,2018-02-05T07:05:17,114.2785886,30.65386995,391,1,114.2770884,30.65725472,114.2731658,30.65629212,114.2825138,30.65483731,114.2785886,30.65386995
37eXJg,2018-02-05T07:03:14,114.2949407,30.66777318,2018-02-05T07:05:21,114.2985042,30.6638574,553,1,114.2895026,30.67016813,114.2930623,30.66624862,114.2949407,30.66777318,114.2985042,30.6638574
27e756,2018-02-05T07:03:27,114.4085024,30.47317829,2018-02-05T07:05:39,114.43158,30.48003069,2339,1,114.4029699,30.47549405,114.4260784,30.48236283,114.4085024,30.47317829,114.43158,30.48003069
3Gogrp,2018-02-05T07:03:28,114.3567664,30.4741632,2018-02-05T07:05:38,114.3336634,30.47853832,2267,1,114.351253,30.47651806,114.3281844,30.48093316,114.3567664,30.4741632,114.3336634,30.47853832
0ydYRl,2018-02-05T07:03:29,114.3724102,30.47595068,2018-02-05T07:05:36,114.3742336,30.47545102,183,1,114.3668798,30.47828324,114.3687018,30.47778164,114.3724102,30.47595068,114.3742336,30.47545102
3Qeo3L,2018-02-05T07:03:35,114.418023,30.49122422,2018-02-05T07:05:47,114.4169317,30.49775796,734,1,114.4124987,30.4935396,114.4114054,30.50007071,114.418023,30.49122422,114.4169317,30.49775796
