a,b,c,d,e,f,g,v,l,wgs84lng,wgs84lat,wgs84lng1,wgs84lat1,marslng,marslat,marslng1,marslat1
3KdOxq,2018-02-05T09:00:01,114.3117804,30.52388092,2018-02-05T09:02:16,114.3026264,30.53153828,1222,1,114.3063324,30.5263036,114.2971907,30.53397445,114.3117804,30.52388092,114.3026264,30.53153828
0nZ8QX,2018-02-05T09:00:14,114.1922173,30.54331302,2018-02-05T09:02:26,114.1890965,30.5446336,333,1,114.186699,30.54573809,114.1835696,30.54705277,114.1922173,30.54331302,114.1890965,30.5446336
3n6mNM,2018-02-05T09:00:16,114.3525213,30.54372837,2018-02-05T09:02:18,114.3611749,30.53206,1540,1,114.3470076,30.546069,114.355651,30.53439076,114.3525213,30.54372837,114.3611749,30.53206
3QEqpq,2018-02-05T09:00:18,114.2411932,30.54870202,2018-02-05T09:02:28,114.2426298,30.54817673,149,1,114.2357714,30.5511798,114.2372095,30.55065511,114.2411932,30.54870202,114.2426298,30.54817673
05Jq2O,2018-02-05T09:00:21,114.3053284,30.55148427,2018-02-05T09:02:30,114.3039326,30.55022739,193,1,114.2998873,30.55390915,114.2984935,30.55265508,114.3053284,30.55148427,114.3039326,30.55022739
26qqkN,2018-02-05T09:00:21,114.2642221,30.55217814,2018-02-05T09:02:31,114.2625119,30.55219078,164,1,114.2588121,30.55465205,114.2571019,30.55466556,114.2642221,30.55217814,114.2625119,30.55219078
3QO6oL,2018-02-05T09:00:21,114.2219417,30.5510738,2018-02-05T09:02:31,114.220413,30.55021407,175,1,114.2164918,30.55353794,114.2149603,30.55267695,114.2219417,30.5510738,114.220413,30.55021407
26B8En,2018-02-05T09:00:27,114.1999599,30.56231822,2018-02-05T09:02:40,114.2026477,30.56536623,426,1,114.1944603,30.56474954,114.1971546,30.56780064,114.1999599,30.56231822,114.2026477,30.56536623
05JnKD,2018-02-05T09:00:33,114.3555612,30.57038725,2018-02-05T09:02:44,114.3500905,30.57299763,599,1,114.350041,30.57271348,114.3445777,30.57533206,114.3555612,30.57038725,114.3500905,30.57299763
0nrgzD,2018-02-05T09:00:33,114.2705133,30.57060822,2018-02-05T09:04:49,114.2737156,30.56566062,630,1,114.265101,30.5730714,114.2683027,30.56812295,114.2705133,30.57060822,114.2737156,30.56566062
3QBqoq,2018-02-05T09:00:33,114.2608874,30.57129906,2018-02-05T09:02:45,114.2682938,30.57327863,742,1,114.2554755,30.57376777,114.2628817,30.57574246,114.2608874,30.57129906,114.2682938,30.57327863
37Ke7a,2018-02-05T09:00:35,114.2799573,30.57310657,2018-02-05T09:02:50,114.2704753,30.58212525,1353,1,114.2745406,30.57556004,114.265062,30.58458419,114.2799573,30.57310657,114.2704753,30.58212525
26lOaG,2018-02-05T09:00:38,114.2733307,30.57840172,2018-02-05T09:02:49,114.2737071,30.57960052,138,1,114.2679169,30.58085972,114.268293,30.58205774,114.2733307,30.57840172,114.2737071,30.57960052
2d38XJ,2018-02-05T09:00:38,114.2836406,30.58068899,2018-02-05T09:02:51,114.2809631,30.58444443,490,1,114.2782207,30.58313543,114.2755448,30.58689256,114.2836406,30.58068899,114.2809631,30.58444443
27xXwJ,2018-02-05T09:00:42,114.2688276,30.58540556,2018-02-05T14:50:42,114.2734799,30.59205499,7211891,1,114.2634144,30.58786449,114.2680648,30.59450768,114.2688276,30.58540556,114.2734799,30.59205499
2dMZyn,2018-02-05T09:00:44,114.2597817,30.58734732,2018-02-05T21:01:56,114.268322,30.58378076,7211544,1,114.2543682,30.58981048,114.262909,30.58624066,114.2597817,30.58734732,114.268322,30.58378076
3QNqpE,2018-02-05T09:00:46,114.2667001,30.59316898,2018-02-05T21:01:59,114.2722747,30.59088674,7211118,1,114.2612865,30.59562637,114.2668602,30.59334091,114.2667001,30.59316898,114.2722747,30.59088674
3QE2Qg,2018-02-05T09:00:47,114.1859785,30.59406576,2018-02-05T09:02:55,114.1864785,30.59041071,409,1,114.1804386,30.59646136,114.1809403,30.59280862,114.1859785,30.59406576,114.1864785,30.59041071
0BKJoL,2018-02-05T09:00:48,114.2948007,30.59236346,2018-02-05T09:02:49,114.2655934,30.57985216,3123,1,114.2893693,30.59479034,114.260181,30.5823153,114.2948007,30.59236346,114.2655934,30.57985216
3GB3wl,2018-02-05T09:00:48,114.2915672,30.59315687,2018-02-05T09:03:09,114.2947857,30.60672249,1540,1,114.2861392,30.59558817,114.2893531,30.60914375,114.2915672,30.59315687,114.2947857,30.60672249
0BRnE2,2018-02-05T09:00:50,114.2955886,30.59650737,2018-02-05T14:02:21,114.2906044,30.58054297,1838,1,114.290156,30.59893146,114.2851784,30.58298042,114.2955886,30.59650737,114.2906044,30.58054297
0B5NGP,2018-02-05T09:00:52,114.3562403,30.59821939,2018-02-05T09:02:50,114.3518678,30.58258384,1788,1,114.3507168,30.60053399,114.3463516,30.58491167,114.3562403,30.59821939,114.3518678,30.58258384
26l3NN,2018-02-05T09:00:54,114.2058977,30.60144663,2018-02-05T09:03:06,114.2086012,30.60326866,329,1,114.2004094,30.60387228,114.2031191,30.60569742,114.2058977,30.60144663,114.2086012,30.60326866
3nMq5l,2018-02-05T09:00:54,114.2581659,30.6017201,2018-02-05T09:03:03,114.2584213,30.60001647,191,1,114.2527508,30.60417825,114.2530064,30.60247521,114.2581659,30.6017201,114.2584213,30.60001647
05Y4Ax,2018-02-05T09:01:00,114.2272999,30.60926683,2018-02-05T09:03:09,114.232661,30.60660268,592,1,114.2218543,30.61171406,114.2272238,30.60905487,114.2272999,30.60926683,114.232661,30.60660268
