a,b,c,d,e,f,g,v,l,wgs84lng,wgs84lat,wgs84lng1,wgs84lat1,marslng,marslat,marslng1,marslat1
0nPmMV,2018-02-05T11:00:04,114.2916027,30.59102207,2018-02-05T11:02:38,114.2749464,30.61873956,3470,1,114.2861748,30.59345414,114.2695285,30.6211803,114.2916027,30.59102207,114.2749464,30.61873956
2dJqAN,2018-02-05T11:00:04,114.3405987,30.59092988,2018-02-05T11:02:15,114.3484654,30.59219051,766,1,114.3350988,30.5932746,114.3429533,30.59452053,114.3405987,30.59092988,114.3484654,30.59219051
3GYwpm,2018-02-05T11:00:10,114.2684697,30.59992866,2018-02-05T11:02:20,114.258401,30.59732062,1006,1,114.2630553,30.60238223,114.2529863,30.59978042,114.2684697,30.59992866,114.258401,30.59732062
0yG4RO,2018-02-05T11:00:12,114.3706008,30.60187961,2018-02-05T11:02:22,114.3800789,30.60127845,910,1,114.365061,30.60417228,114.3745323,30.60356122,114.3706008,30.60187961,114.3800789,30.60127845
0yPpvx,2018-02-05T11:00:13,114.2895755,30.60422016,2018-02-05T11:02:28,114.2846784,30.60785489,619,1,114.2841485,30.60664989,114.2792554,30.61028954,114.2895755,30.60422016,114.2846784,30.60785489
25p66R,2018-02-05T11:00:17,114.2679938,30.60966377,2018-02-05T11:02:31,114.2683287,30.61062471,112,1,114.2625786,30.61211379,114.2629134,30.61307412,114.2679938,30.60966377,114.2683287,30.61062471
2dO2kR,2018-02-05T11:00:19,114.2546649,30.6102244,2018-02-05T12:28:05,114.2599902,30.6073241,7210209,1,114.2492478,30.61268006,114.254575,30.60977937,114.2546649,30.6102244,114.2599902,30.6073241
3nzXqq,2018-02-05T11:00:19,114.2380291,30.61128829,2018-02-05T11:02:32,114.2431997,30.61405973,583,1,114.2325984,30.61374147,114.2377743,30.61651354,114.2380291,30.61128829,114.2431997,30.61405973
056JkL,2018-02-05T11:00:23,114.4028057,30.61409371,2018-02-05T23:03:17,114.4083116,30.6117387,7208988,1,114.3972572,30.61636094,114.4027668,30.61400766,114.4028057,30.61409371,114.4083116,30.6117387
26EBVG,2018-02-05T11:00:25,114.1919218,30.62026151,2018-02-05T23:17:52,114.2002929,30.62019255,7210299,1,114.186396,30.62265716,114.1947892,30.62260212,114.1919218,30.62026151,114.2002929,30.62019255
0n4M4P,2018-02-05T11:00:27,114.2358828,30.62174501,2018-02-05T11:02:39,114.239599,30.62129915,359,1,114.2304486,30.62419289,114.2341693,30.62374888,114.2358828,30.62174501,114.239599,30.62129915
2dD7xJ,2018-02-05T11:00:27,114.1924928,30.62201225,2018-02-05T11:02:35,114.194047,30.61776178,495,1,114.1869684,30.62440817,114.1885272,30.6201621,114.1924928,30.62201225,114.194047,30.61776178
05ZlwD,2018-02-05T11:00:28,114.191367,30.62219836,2018-02-05T11:07:05,114.1927398,30.62263822,140,1,114.1858396,30.62459225,114.187216,30.6250343,114.191367,30.62219836,114.1927398,30.62263822
2dOm6N,2018-02-05T11:00:28,114.2021416,30.62365302,2018-02-05T11:02:40,114.1926318,30.62279723,915,1,114.1966422,30.62606405,114.1871077,30.62519306,114.2021416,30.62365302,114.1926318,30.62279723
25dkya,2018-02-05T11:00:29,114.3054274,30.62438441,2018-02-05T11:02:36,114.2989811,30.61949102,823,1,114.2999799,30.6267813,114.2935424,30.62190061,114.3054274,30.62438441,114.2989811,30.61949102
05L3ZV,2018-02-05T11:00:31,114.3929681,30.62671936,2018-02-05T11:02:43,114.3951967,30.62585788,234,1,114.3874159,30.62898329,114.3896447,30.62812138,114.3929681,30.62671936,114.3951967,30.62585788
3QJgnL,2018-02-05T11:00:35,114.2535502,30.63163567,2018-02-05T11:55:25,114.348863,30.56205445,7209408,1,114.2481307,30.63408269,114.343353,30.56439498,114.2535502,30.63163567,114.348863,30.56205445
3QJZep,2018-02-05T11:00:36,114.3133387,30.63362587,2018-02-05T11:02:44,114.3119578,30.62850194,585,1,114.3078789,30.63600482,114.3065005,30.63088556,114.3133387,30.63362587,114.3119578,30.62850194
3nY6Gm,2018-02-05T11:00:38,114.3010508,30.63845534,2018-02-05T11:02:51,114.3037229,30.63931591,273,1,114.2956079,30.64085363,114.2982764,30.64170939,114.3010508,30.63845534,114.3037229,30.63931591
2dD4E4,2018-02-05T11:00:40,114.2687137,30.6435917,2018-02-05T11:02:51,114.271575,30.64186617,334,1,114.2632955,30.64602705,114.2661563,30.64430009,114.2687137,30.6435917,114.271575,30.64186617
2dpMY4,2018-02-05T11:00:40,114.2996681,30.64247299,2018-02-05T11:02:53,114.3056874,30.64449442,618,1,114.2942266,30.64487179,114.3002378,30.64688231,114.2996681,30.64247299,114.3056874,30.64449442
26rm0a,2018-02-05T11:00:44,114.289264,30.65460506,2018-02-05T11:02:56,114.2881571,30.65205888,302,1,114.283833,30.65701404,114.2827273,30.65447047,114.289264,30.65460506,114.2881571,30.65205888
3Gb7Xp,2018-02-05T11:00:47,114.3263762,30.66372356,2018-02-05T11:02:59,114.3251412,30.66377257,118,1,114.320893,30.6660648,114.31966,30.66611615,114.3263762,30.66372356,114.3251412,30.66377257
27edgG,2018-02-05T11:01:01,114.4232363,30.46784865,2018-02-05T11:03:14,114.4239144,30.47095351,351,1,114.4177213,30.47017473,114.4184002,30.47327941,114.4232363,30.46784865,114.4239144,30.47095351
05Xk4l,2018-02-05T11:01:07,114.4177329,30.48117012,2018-02-05T11:03:20,114.4197014,30.48208561,214,1,114.4122091,30.48348813,114.4141801,30.48440481,114.4177329,30.48117012,114.4197014,30.48208561
07owAD,2018-02-05T11:01:28,114.3149006,30.52269925,2018-02-05T11:03:40,114.3169808,30.52212029,209,1,114.309448,30.5251166,114.311525,30.52453396,114.3149006,30.52269925,114.3169808,30.52212029
