a,b,c,d,e,f,g,v,l,wgs84lng,wgs84lat,wgs84lng1,wgs84lat1,marslng,marslat,marslng1,marslat1
04BNeV,2018-02-05T00:01:50,114.3714132,30.46568122,2018-02-05T00:59:45,114.3666308,30.4649072,466,1,114.3658845,30.4680177,114.3611067,30.46724997,114.3714132,30.46568122,114.3666308,30.4649072
0BZRQX,2018-02-05T00:01:51,114.3708759,30.46574238,2018-02-05T00:59:45,114.3802999,30.46777321,931,1,114.3653477,30.46807949,114.3747648,30.47009979,114.3708759,30.46574238,114.3802999,30.46777321
25dLDZ,2018-02-05T00:01:52,114.4277906,30.47262754,2018-02-05T00:59:47,114.4259211,30.47125209,236,1,114.4222827,30.47495707,114.4204101,30.47357994,114.4277906,30.47262754,114.4259211,30.47125209
0nO8p7,2018-02-05T00:01:53,114.3440687,30.47601296,2018-02-05T00:04:05,114.3435753,30.47342407,292,1,114.3385733,30.47838908,114.3380809,30.47580179,114.3440687,30.47601296,114.3435753,30.47342407
0nO8p7,2018-02-05T00:01:53,114.3435753,30.47342407,2018-02-05T00:59:46,114.3440687,30.47601296,292,1,114.3380809,30.47580179,114.3385733,30.47838908,114.3435753,30.47342407,114.3440687,30.47601296
0nO8p7,2018-02-05T00:01:53,114.3440687,30.47601296,2018-02-05T00:04:05,114.3435753,30.47342407,292,1,114.3385733,30.47838908,114.3380809,30.47580179,114.3440687,30.47601296,114.3435753,30.47342407
0yplXr,2018-02-05T00:01:53,114.4395966,30.47437521,2018-02-05T00:59:49,114.4166256,30.47609584,2210,1,114.4341126,30.47672068,114.4111009,30.47841451,114.4395966,30.47437521,114.4166256,30.47609584
3nXqva,2018-02-05T00:01:53,114.3460302,30.47625488,2018-02-05T00:04:03,114.3402055,30.46331933,1543,1,114.3405318,30.4786274,114.3347173,30.46570591,114.3460302,30.47625488,114.3402055,30.46331933
3nXqva,2018-02-05T00:01:53,114.340234,30.46333498,2018-02-05T00:59:45,114.3460302,30.47625488,1540,1,114.3347457,30.46572151,114.3405318,30.4786274,114.340234,30.46333498,114.3460302,30.47625488
3nXqva,2018-02-05T00:01:53,114.3460302,30.47625488,2018-02-05T00:04:03,114.3402055,30.46331933,1543,1,114.3405318,30.4786274,114.3347173,30.46570591,114.3460302,30.47625488,114.3402055,30.46331933
27e756,2018-02-05T00:01:54,114.4315887,30.48004191,2018-02-05T00:59:50,114.431489,30.4786716,153,1,114.4260871,30.48237406,114.4259874,30.48100399,114.4315887,30.48004191,114.431489,30.4786716
3nwDM7,2018-02-05T00:01:54,114.4259246,30.48474729,2018-02-05T00:59:52,114.4270764,30.47959279,584,1,114.4204124,30.48707145,114.4215666,30.48191963,114.4259246,30.48474729,114.4270764,30.47959279
3nz2Ql,2018-02-05T00:01:54,114.3435026,30.47816552,2018-02-05T00:59:49,114.3446639,30.47823848,112,1,114.3380079,30.48054208,114.3391674,30.48061292,114.3435026,30.47816552,114.3446639,30.47823848
26YY8R,2018-02-05T00:01:55,114.4155799,30.48297962,2018-02-05T00:59:52,114.4198867,30.47923112,587,1,114.4100533,30.48529575,114.4143659,30.48155126,114.4155799,30.48297962,114.4198867,30.47923112
